,DBN,school_name,lat,lon,Num_of_SAT_Test_Takers,SAT_Critical_Reading_AvgScore,SAT_Math_AvgScore,SAT_Writing_AvgScore,,,,
247,13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",40.6984181,-73.9865245,37,375,355,384,,,,
323,18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,40.6597946,-73.9206428,37,404,393,386,,,,
333,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,40.6928503,-73.8689912,37,341,349,333,,,,
166,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,40.8396259,-73.9113888,38,386,386,376,,,,
190,10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),40.8595423,-73.8885964,38,343,356,330,,,,
303,17K533,SCHOOL FOR DEMOCRACY AND LEADERSHIP,40.6700279,-73.9610552,38,377,404,372,,,,
343,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",40.621284,-73.982587,38,383,400,374,,,,
142,08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,40.8150398,-73.8560987,39,363,371,350,,,,
149,08X452,BRONX GUILD,40.8215141,-73.8554141,39,369,371,365,,,,
157,09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,40.8396545,-73.9113859,39,324,376,349,,,,
352,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,40.5935726,-73.985987,39,388,398,378,,,,
375,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,40.7433449,-73.933675,39,406,413,400,,,,
465,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,40.5121871,-74.2224609,39,428,465,422,,,,
17,02M308,LOWER MANHATTAN ARTS ACADEMY,40.7169645,-73.9895323,40,403,392,405,,,,
328,18K642,URBAN ACTION ACADEMY,40.6668454,-73.8952889,40,376,385,374,,,,
358,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40.5935053,-73.9369006,40,384,375,365,,,,
359,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40.5803155,-73.9349246,40,353,370,356,,,,
76,03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",40.7747793,-73.98472,41,384,390,370,,,,
139,08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,40.8213444,-73.8556733,41,416,390,394,,,,
266,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,40.715345,-73.9547924,41,407,386,396,,,,
19,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",40.7054423,-74.0128882,42,373,370,384,,,,
54,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,40.7561154,-73.9844504,42,429,404,420,,,,
239,12X550,HIGH SCHOOL OF WORLD CULTURES,40.6820023,-73.9452586,42,304,323,312,,,,
270,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,40.7056151,-73.9554827,42,367,373,350,,,,
90,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,40.7992278,-73.9338214,43,356,379,361,,,,
124,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,40.8181071,-73.9114331,43,361,359,357,,,,
243,12X692,MONROE ACADEMY FOR VISUAL ARTS & DESIGN,40.6895732,-73.9762527,43,332,357,349,,,,
319,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,40.640423,-73.8984517,43,368,378,346,,,,
434,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,40.7426756,-73.9595227,43,370,367,363,,,,
4,01M509,MARTA VALLE HIGH SCHOOL,40.7205149,-73.9856828,44,390,433,384,,,,
131,07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,40.81366,-73.925999,44,387,411,383,,,,
137,08X282,WOMEN'S ACADEMY OF EXCELLENCE,40.8401731,-73.8393567,44,407,386,378,,,,
407,27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",40.6792758,-73.8365636,44,391,401,364,,,,
390,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,40.765602,-73.828293,45,314,417,318,,,,
208,11X253,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ARTS,40.8602833,-73.8603759,46,400,357,390,,,,
225,11X545,BRONX AEROSPACE HIGH SCHOOL,40.8271204,-73.9008891,46,388,393,382,,,,
231,12X271,EAST BRONX ACADEMY FOR THE FUTURE,40.8271204,-73.9008891,46,366,378,358,,,,
293,16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,40.6695162,-73.9552655,46,362,372,358,,,,
301,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,40.658665,-73.943838,46,403,385,388,,,,
431,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,40.698328,-73.74615,46,401,397,375,,,,
134,07X655,SAMUEL GOMPERS CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.815542,-73.9304433,47,398,416,370,,,,
334,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,40.6928503,-73.8689912,47,363,349,342,,,,
14,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",40.7655356,-73.9931625,48,404,449,416,,,,
91,04M409,COALITION SCHOOL FOR SOCIAL CHANGE,40.7943534,-73.9329763,48,354,357,373,,,,
96,04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,40.791964,-73.946878,48,369,369,357,,,,
193,10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,40.881324,-73.887407,48,355,350,372,,,,
217,11X418,BRONX HIGH SCHOOL FOR THE VISUAL ARTS,40.8602833,-73.8603759,48,419,433,416,,,,
221,11X514,THE BRONXWOOD PREPARATORY ACADEMY,41.60698,-81.5260354,48,377,372,363,,,,
310,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,40.6480566,-73.9222341,48,385,393,373,,,,
322,18K589,ARTS & MEDIA PREPARATORY ACADEMY,40.640423,-73.8984517,48,361,360,359,,,,
45,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,40.7657337,-73.9598154,49,376,460,391,,,,
75,03M299,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",40.7748991,-73.9856156,49,374,384,374,,,,
170,09X403,BRONX INTERNATIONAL HIGH SCHOOL,40.8396545,-73.911386,49,314,312,339,,,,
187,10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,40.8776412,-73.913386,49,300,333,301,,,,
227,12X248,"METROPOLITAN HIGH SCHOOL, THE",40.827719,-73.8970008,49,347,367,341,,,,
